,address,coordinates
4292,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4293,"город Москва, проспект Мира, дом 150",37.647037 55.822271
4304,"город Москва, проспект Мира, дом 101, строение 2",37.635664 55.81168
4305,"город Москва, проспект Мира, дом 106",37.636814 55.802786
4313,"город Москва, проспект Мира, дом 36, строение 1",37.633347 55.779287
4318,"город Москва, проспект Мира, дом 28",37.633491 55.777975
4332,"город Москва, проспект Мира, дом 109",37.636778 55.818675
4358,"город Москва, проспект Мира, дом 68, строение 1А",37.635817 55.787513
4480,"город Москва, Кутузовский проспект, дом 2/1, строение 1",37.565713 55.751406
4481,"город Москва, Кутузовский проспект, дом 2/1, строение 1",37.565713 55.751406
4482,"город Москва, Кутузовский проспект, дом 2/1, строение 1",37.565713 55.751406
4483,"город Москва, Кутузовский проспект, дом 2/1, строение 1",37.565713 55.751406
4484,"город Москва, Кутузовский проспект, дом 2/1, строение 1",37.565713 55.751406
4525,"город Москва, Кутузовский проспект, дом 36А",37.526178 55.738743
4526,"город Москва, Кутузовский проспект, дом 36А",37.526178 55.738743
4779,"город Москва, Каширское шоссе, дом 67",37.728532 55.596101
4782,"город Москва, Варшавское шоссе, дом 56, строение 2",37.619854 55.666167
4808,"город Москва, Каширское шоссе, дом 15",37.630472 55.666147
4834,"город Москва, проспект Вернадского, дом 101, строение 2",37.489769 55.664004
4835,"город Москва, проспект Вернадского, дом 105, корпус 1",37.485861 55.662354
4836,"город Москва, проспект Вернадского, дом 100, корпус ЗОНА, строение А",37.546075 55.702845
4919,"город Москва, Ленинградский проспект, дом 68, строение 23",37.524327 55.803621
4931,"город Москва, Ленинградский проспект, дом 37, корпус 9",37.547387 55.79055
4932,"город Москва, Ленинградский проспект, дом 37, корпус 9",37.547387 55.79055
4933,"город Москва, Ленинградский проспект, дом 37, корпус 9",37.547387 55.79055
4934,"город Москва, Ленинградский проспект, дом 37, корпус 9",37.547387 55.79055
4941,"город Москва, проспект Мира, дом 61",37.634479 55.785964
4953,"город Москва, проспект Мира, дом 39А",37.632359 55.781038
5017,"город Москва, Ленинградский проспект, дом 80, корпус 21",37.512389 55.808543
5018,"город Москва, Ленинградский проспект, дом 80, корпус 21",37.512389 55.808543
5019,"город Москва, Ленинградский проспект, дом 80, корпус 21",37.512389 55.808543
5103,"город Москва, проспект Мира, дом 95, строение 1",37.635853 55.808002
5104,"город Москва, проспект Мира, дом 95, строение 1",37.635853 55.808002
5150,"город Москва, проспект Мира, дом 105",37.634272 55.814143
5151,"город Москва, проспект Мира, дом 105",37.634272 55.814143
5152,"город Москва, проспект Мира, дом 105, строение 1",37.637461 55.815145
5159,"город Москва, проспект Мира, дом 102, корпус 1",37.636671 55.800595
5166,"город Москва, проспект Мира, дом 114Б, строение 2",37.638 55.808225
5172,"город Москва, проспект Мира, дом 111",37.639743 55.822751
5239,"город Москва, проспект Мира, дом 211, корпус 1",37.66265 55.844041
5241,"город Москва, проспект Мира, дом 123А",37.64242 55.827545
5242,"город Москва, проспект Мира, дом 123А",37.64242 55.827545
5298,"город Москва, проспект Мира, дом 102, строение 1А",37.636769 55.801015
5314,"город Москва, проспект Мира, дом 120, корпус 1",37.638826 55.81217
5341,"город Москва, проспект Мира, дом 125",37.649606 55.830387
5391,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5392,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5393,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5394,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5395,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5396,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5397,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5398,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5399,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5400,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5401,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5402,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5403,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5404,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5405,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5406,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5407,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5408,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5409,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5410,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5411,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5412,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5413,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5414,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5415,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5416,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5417,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5418,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5419,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5420,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5421,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5422,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5423,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5424,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5425,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5426,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5427,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5428,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5429,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5430,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5431,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5432,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
5433,"город Москва, проспект Мира, дом 211, корпус 2",37.662093 55.845855
6033,"город Москва, Ленинский проспект, дом 65, корпус 3",37.557188 55.692059
